Period,IDPROV,Province,Xcoord,Ycoord,IDDISTRICT,District,Event,Casualties,Injured,Missing,Affected,Displaced,House_HD,House_MD,House_SD,Flooded
January 2018,31,DKI JAKARTA,106.83439,-6.2003,3172,KOTA JAKARTA TIMUR,Earthquake,,1,,0,,,,,
January 2018,32,JAWA BARAT,107.6028,-6.91998,3203,CIANJUR,Earthquake,,8,,0,,2,1,6,
January 2018,32,JAWA BARAT,107.6028,-6.91998,3271,KOTA BOGOR,Earthquake,,,,0,,,,3,
January 2018,51,BALI,115.13213,-8.36978,5102,TABANAN,Landslide,2,,,0,,,,,
January 2018,51,BALI,115.13213,-8.36978,5108,BULELENG,Landslide,,2,,0,,1,,60,
January 2018,51,BALI,115.13213,-8.36978,5108,BULELENG,Flood,,,,0,,,,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3301,CILACAP,Whirlwind,,,,0,,,1,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3308,MAGELANG,Whirlwind,,,,0,,,2,46,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3301,CILACAP,Whirlwind,,,,5,,1,1,,
January 2018,32,JAWA BARAT,107.6028,-6.91998,3209,CIREBON,Flood,,,,1418,,,,,
January 2018,51,BALI,115.13213,-8.36978,5103,BADUNG,Flood,,,,0,,,,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3302,BANYUMAS,Landslide,,,,15,,,,2,
January 2018,62,KALIMANTAN TENGAH,113.42482,-1.60397,6203,KAPUAS,Whirlwind,,,,9,,1,,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3312,WONOGIRI,Flood,,,,0,,14,,8,
January 2018,63,KALIMANTAN SELATAN,115.44063,-3.01217,6306,HULU SUNGAI SELATAN,Whirlwind,,,,0,,,,,
January 2018,52,NUSA TENGGARA BARAT,117.50748,-8.60668,5272,KOTA BIMA,Flood,,,,300,,,,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3323,TEMANGGUNG,Whirlwind,,,,0,,,,2,
January 2018,75,GORONTALO,122.37605,0.68682,7501,BOALEMO,Flood,,,,100,,1,1,,23
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3503,TRENGGALEK,Landslide,,,,0,,,,6,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3309,BOYOLALI,Whirlwind,,,,0,,,,1,
January 2018,32,JAWA BARAT,107.6028,-6.91998,3278,KOTA TASIKMALAYA,Whirlwind,,,,0,,,1,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3323,TEMANGGUNG,Whirlwind,,,,5,5,,1,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3312,WONOGIRI,Whirlwind,,,,0,,,,3,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3308,MAGELANG,Whirlwind,,,,0,,,,15,
January 2018,52,NUSA TENGGARA BARAT,117.50748,-8.60668,5201,LOMBOK BARAT,Flood,,,,10300,,,,,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3512,SITUBONDO,Flood,,,,37,,,,,8
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3305,KEBUMEN,Whirlwind,,,,0,,,,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3301,CILACAP,Whirlwind,,1,,0,,27,49,377,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3308,MAGELANG,Whirlwind,,,,8,,,,2,
January 2018,32,JAWA BARAT,107.6028,-6.91998,3218,PANGANDARAN,Whirlwind,,,,0,,4,16,74,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3579,KOTA BATU,Landslide,,,,1000,,,,,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3573,KOTA MALANG,Landslide,,,,1,1,1,,,
January 2018,51,BALI,115.13213,-8.36978,5108,BULELENG,Flood,3,,,0,,33,3,26,431
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3309,BOYOLALI,Whirlwind,,,,0,,,,14,
January 2018,73,SULAWESI SELATAN,119.96738,-4.7654,7371,KOTA MAKASSAR,Whirlwind,,,,0,,,,20,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3512,SITUBONDO,Flood,,,,0,,,,,18
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3374,KOTA SEMARANG,Whirlwind,,,,10,,,2,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3312,WONOGIRI,Whirlwind,,,,38,,,,13,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3572,KOTA BLITAR,Landslide,,,,0,,,,,
January 2018,16,SUMATERA SELATAN,104.17052,-3.21413,1673,KOTA PAGAR ALAM,Whirlwind,1,,,0,,3,,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3301,CILACAP,Whirlwind,,,,0,,,,1,
January 2018,12,SUMATERA UTARA,99.05314,2.19191,1211,KARO,Volcano Eruption,,,,0,,,,,
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3512,SITUBONDO,Flood,,,,545,,,,,
January 2018,75,GORONTALO,122.37605,0.68682,7501,BOALEMO,Flood,,,,5250,,,,,1050
January 2018,35,JAWA TIMUR,112.59767,-7.94595,3507,MALANG,Whirlwind,,,,10,,,2,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3305,KEBUMEN,Whirlwind,,1,,0,,,,1,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3314,SRAGEN,Whirlwind,,1,,0,,,,,
January 2018,33,JAWA TENGAH,110.20062,-7.25939,3324,KENDAL,Whirlwind,,,,0,,,,1,
